developer,release_year,total_items,free_items,percentage_free
"Monolith Productions, Inc.",2017,9,0,0.00%
"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2014,26,0,0.00%
"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2015,12,0,0.00%
"Monolith Productions, Inc.,Timegate",2005,1,0,0.00%
"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014,2,0,0.00%
Monomi Park,2017,8,0,0.00%
"Monstars Inc.,Resonair",2017,3,0,0.00%
Monster Couch,Unavailable data,4,0,0.00%
Monster Games,2016,33,0,0.00%
Monster Games,2017,17,0,0.00%
Monstrum,2008,4,0,0.00%
Monstrum,2017,4,0,0.00%
Monte Cristo,2007,1,0,0.00%
Monte Cristo,2008,3,0,0.00%
Moon Pub Games,2016,2,0,0.00%
Moon Spider Studio,2015,3,0,0.00%
Moon Studios GmbH,2015,1,0,0.00%
Moon Studios GmbH,2016,3,0,0.00%
"Moonbite Games,PadaOne Games",2015,1,0,0.00%
Moonbyte,2017,2,0,0.00%
Moondrop,2014,2,0,0.00%
Moongate Digital,2017,4,0,0.00%
Moonlight Mouse,2015,3,0,0.00%
Moonlite Software,1994,2,0,0.00%
Moonpod,2003,3,0,0.00%
Moonpod,2007,3,0,0.00%
Moonradish Inc.,2016,6,0,0.00%
Moonray Studios,2017,3,0,0.00%
Moonrise Interactive,2013,2,0,0.00%
Moonrise Interactive,2017,2,0,0.00%
"Moonshark, Inc.",2014,3,0,0.00%
Moonshot Games,2014,3,0,0.00%
"Moped Games,Random Dragon Games,Nerve Damage Games",2017,3,0,0.00%
Moppin,2015,3,0,0.00%
Morenori Soft,2016,4,0,0.00%
Morepork Games,2016,3,0,0.00%
MorfeoDev,2017,2,0,0.00%
Morganti Livio,2017,3,0,0.00%
Morgondag,2015,7,0,0.00%
Morgondag,2017,7,0,0.00%
Morgopolis Studios,2014,3,0,0.00%
Morozov Sergey,2015,5,0,0.00%
Morphodox Studios,2015,2,0,0.00%
Mortis Games,2017,13,0,0.00%
Mosaic Mask Studios,2016,1,0,0.00%
"Moss Co., Ltd.",2014,1,0,0.00%
"Moss Co., Ltd.",2015,1,0,0.00%
"Moss Co., Ltd.",2017,1,0,0.00%
Moss Piglet Games,2017,2,0,0.00%
Most Wanted Entertainment,2006,2,0,0.00%
Most Wanted Entertainment,2012,3,0,0.00%
Most Wanted Entertainment,2013,3,0,0.00%
Mostly Harmless Games,2016,4,0,0.00%
Mostly Tigerproof,2016,2,0,0.00%
Mothership Entertainment LLC,2017,9,0,0.00%
Motiga Inc.,2017,11,0,0.00%
Motion Twin,2017,3,0,0.00%
Motoda Media,2017,3,0,0.00%
"Motus,EHTechnology",2017,3,0,0.00%
Mouldy Toof Studios,2014,3,0,0.00%
Mouldy Toof Studios,2015,25,0,0.00%
MouldyMattress,2016,6,0,0.00%
Mountain Sheep,2014,5,0,0.00%
Mousechief,2008,3,0,0.00%
Mousechief,2013,4,0,0.00%
Mousechief,2014,3,0,0.00%
Mouseless Media,2017,2,0,0.00%
"Move Games Co., Ltd.",2016,12,0,0.00%
Moving Pixel Games,2015,2,0,0.00%
Moving Player,2016,2,0,0.00%
MovingBlocks,2015,4,0,0.00%
Mozg Labs,2015,4,0,0.00%
Mr. Blue,2015,3,0,0.00%
Mr. Podunkian,2016,3,0,0.00%
Mr. Thee,Unavailable data,3,0,0.00%
MuHa Games,2015,3,0,0.00%
MuHa Games,2016,12,0,0.00%
Mubeat Studio,2016,3,0,0.00%
Muggle,2017,3,0,0.00%
Mugle Studio,2017,8,0,0.00%
"Multi-Dimensional Games (Studio of ThoughtSTEM, LLC)",2015,5,0,0.00%
Multiverse Games,2016,2,0,0.00%
MumboJumbo,2005,2,0,0.00%
MumboJumbo,2007,1,0,0.00%
MumboJumbo,2008,8,0,0.00%
MumboJumbo,2009,7,0,0.00%
MumboJumbo,2011,6,0,0.00%
MumboJumbo,2012,14,0,0.00%
MumboJumbo,2013,3,0,0.00%
MumboJumbo,2014,4,0,0.00%
MumboJumbo,2015,2,0,0.00%
Munchkin's Lair,2017,6,0,0.00%
Muro Studios,2017,3,0,0.00%
Murray Atkinson,2013,3,0,0.00%
Murray Atkinson,2014,2,0,0.00%
Murray Atkinson,2015,4,0,0.00%
Murray Atkinson,2016,5,0,0.00%
Murray Atkinson,2017,9,0,0.00%
"Murray Atkinson,Degica",2015,4,0,0.00%
Murudai,2011,2,0,0.00%
Muse Games,2010,2,0,0.00%
Muse Games,2011,1,0,0.00%
Muse Games,2012,4,0,0.00%
Muse Games,2017,8,0,0.00%
"Mushroom Party,Team Jolly Roger",2016,3,0,0.00%
Musicofmarkku.com,2017,3,0,0.00%
Musopia,2016,243,0,0.00%
Musopia,2017,42,0,0.00%
Musrka,2017,3,0,0.00%
Must Imagine Entertainment,2017,4,0,0.00%
Mustache Games,2016,3,0,0.00%
Mutant Entertainment Studios,2017,6,0,0.00%
Mutated Software,2017,8,0,0.00%
Mute Canary,2017,3,0,0.00%
"Mute Canary,Mauvesic",2017,3,0,0.00%
Muteki,2015,1,0,0.00%
Muteki,2016,1,0,0.00%
Muzaku,2017,2,0,0.00%
Muzintou,2017,3,0,0.00%
Muzzy Lane,2007,2,0,0.00%
Muzzy Lane Software,2008,4,0,0.00%
Muzzy Lane Software,2010,3,0,0.00%
"Muzzy Lane Software,Factus Games",2014,1,0,0.00%
"Muzzy Lane Software,Factus Games",2015,3,0,0.00%
"Muzzy Lane Software,Factus Games",2016,3,0,0.00%
My Dog Zorro,2017,8,0,0.00%
My Owl Software,2017,4,0,0.00%
MyDearest,2017,3,0,0.00%
MyDream Interactive Inc.,2017,1,0,0.00%
"MyDreamForever,Dark Light Studio",2017,3,0,0.00%
MyST,2017,3,0,0.00%
Myarcadegames Studios,2017,30,0,0.00%
Mykhail Konokh,2014,4,0,0.00%
Mykhail Konokh,2015,3,0,0.00%
Mykhail Konokh,2017,6,0,0.00%
Myoubouh Corp,2016,4,0,0.00%
Myra D'Ann,2015,4,0,0.00%
Myrolit Studios,2015,3,0,0.00%
Myrtilus Entertainment,2013,4,0,0.00%
Myshkin Entertainment,2014,2,0,0.00%
Myshkin Entertainment,2016,1,0,0.00%
Mysia Games,2016,3,0,0.00%
Mysteria Studio,2016,2,0,0.00%
Mystery Egg Games,2017,2,0,0.00%
MysteryTag,2016,2,0,0.00%
MysteryTag,2017,3,0,0.00%
"MysteryTag,Far Mills",2016,2,0,0.00%
Mysterytag,2014,2,0,0.00%
Mysterytag,2017,3,0,0.00%
"Mysterytag,Argali Entertainment",2016,3,0,0.00%
Mystic Box,2011,3,0,0.00%
Mystic Games,2015,4,0,0.00%
Mystic Games,2016,6,0,0.00%
MysticGames,2016,3,0,0.00%
Mystified Games,2016,3,0,0.00%
Mystik'Art,2015,3,0,0.00%
Mythic Chest,2017,5,0,0.00%
Mythyn Interactive,2016,6,0,0.00%
Mzone,2016,1,0,0.00%
Mårten Jonsson,2014,2,0,0.00%
Mårten Jonsson,2015,2,0,0.00%
Mårten Jonsson,2016,2,0,0.00%
"Mårten Jonsson,JMJ Interactive",2016,4,0,0.00%
Möf Selvi,2016,2,0,0.00%
N-Fusion Interactive,2001,2,0,0.00%
N-Fusion Interactive,2003,1,0,0.00%
N-Fusion Interactive,2006,1,0,0.00%
N-Fusion Interactive,2016,4,0,0.00%
N-Game Studios,2014,3,0,0.00%
N-Game Studios,2017,3,0,0.00%
N-Soft,2016,2,0,0.00%
N-Tri Studio,2017,3,0,0.00%
N.R. Burnette,2016,3,0,0.00%
N2Games,2015,15,0,0.00%
N3V Games,2010,3,0,0.00%
N3V Games,2011,2,0,0.00%
N3V Games,2012,1,0,0.00%
N3V Games,2013,3,0,0.00%
N3V Games,2014,6,0,0.00%
N3V Games,2015,4,0,0.00%
N3V Games,2016,37,0,0.00%
N3V Games,2017,37,0,0.00%
N94Games,2014,3,0,0.00%
N94Games,2017,4,0,0.00%
NAMCO,2013,2,0,0.00%
NAMCO BANDAI Games,2013,1,0,0.00%
NAMI TENTOU,2015,1,0,0.00%
NASPAPA GAMES,2017,3,0,0.00%
NCE Software Games,2016,4,0,0.00%
NCH Software,2016,1,0,0.00%
NCH Software,2017,9,0,0.00%
NCR Games,2017,3,0,0.00%
NDPendent Games,2017,4,0,0.00%
NDev,2016,3,0,0.00%
NEOCORE GAMES,2012,2,0,0.00%
NEW AUDIO TECHNOLOGY,2016,2,0,0.00%
"NEXON CO., Ltd.",2013,6,0,0.00%
NEXON Korea Corp.,2012,7,0,0.00%
NEXON Korea Corp.,2017,16,0,0.00%
NEXT-SOFT+,2014,2,0,0.00%
"NFA,Claw Games",2016,2,0,0.00%
NGD Studios,2011,6,0,0.00%
NGD Studios,2013,4,0,0.00%
NGD Studios,2014,2,0,0.00%
NGD Studios,2016,4,0,0.00%
NHLislive,2017,1,0,0.00%
NIGHTBOX,2016,3,0,0.00%
NIGHTBOX,2017,5,0,0.00%
NIGORO,2013,3,0,0.00%
NIGORO,2015,3,0,0.00%
NIKITA ONLINE,1997,4,0,0.00%
NIKITA ONLINE,2015,4,0,0.00%
NIKITA ONLINE,2016,1,0,0.00%
NIMONIX,2016,2,0,0.00%
NLB project,2015,2,0,0.00%
NMS Software,2015,1,0,0.00%
"NOISZMAKERS,Team Infinity",2017,2,0,0.00%
NS STUDIO,2017,19,0,0.00%
NSE Circuit,2015,9,0,0.00%
NSE Circuit,2016,5,0,0.00%
"NTT Plala Inc.,Roconilo Project",2015,2,0,0.00%
NYF,2017,2,0,0.00%
NYP,2014,2,0,0.00%
Naarassusi Game,2016,6,0,0.00%
Naarassusi Game,2017,6,0,0.00%
Nabi Studios,2006,4,0,0.00%
Nacho Games,2015,2,0,0.00%
Naddic Games,2017,5,0,0.00%
Nadeo,2008,2,0,0.00%
Nadeo,2011,2,0,0.00%
Nadeo,2013,5,0,0.00%
Nadeo,2017,2,0,0.00%
Naev Team,2017,3,0,0.00%
Nafanya interactive,2017,5,0,0.00%
Naiad Entertainment LLC,2014,8,0,0.00%
NaissusWorks,2017,3,0,0.00%
Naked Sky Entertainment,2006,2,0,0.00%
Naloki,2015,3,0,0.00%
Nalu Zou,2017,2,0,0.00%
Namaage,2016,3,0,0.00%
Nanali Studios,2016,2,0,0.00%
"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com,sanodg (Nobuyoshi Sano)",2015,2,0,0.00%
Nano Games,2012,8,0,0.00%
Nano Games,2014,3,0,0.00%
Nano Games sp. z o.o.,2015,2,0,0.00%
Nanoleptic Games,2017,4,0,0.00%
"Napoleon Games, s.r.o.",2016,1,0,0.00%
Naps Team,2016,4,0,0.00%
Narayan Games,2017,4,0,0.00%
Narayana Walters,2016,1,0,0.00%
Narko Games,2017,14,0,0.00%
Narrator,2016,2,0,0.00%
Narrator,2017,3,0,0.00%
Narrow Monolith,2012,5,0,0.00%
Narrow Monolith,2015,4,0,0.00%
Nate Schmold,2015,4,0,0.00%
"Nathan Archer,Luke Brown,Dan Kramer",2015,1,0,0.00%
Nathan Boler,2017,1,0,0.00%
Nathan Meunier,2015,2,0,0.00%
Nathan Meunier,2017,2,0,0.00%
Nathaniel Nelson,2016,3,0,0.00%
NatsumeAtari Inc.,2017,1,0,0.00%
Naturally Intelligent,2017,3,0,0.00%
Nauris Amatnieks,2015,1,0,0.00%
Nauris Amatnieks,2016,3,0,0.00%
Nauris Amatnieks,2017,3,0,0.00%
Navel,2016,3,0,0.00%
Nawia Games,2016,6,0,0.00%
Nawia Games,2017,3,0,0.00%
Nayma Software,1997,2,0,0.00%
Ndemic Creations,2014,4,0,0.00%
Ndemic Creations,2016,4,0,0.00%
"NeFARiOUS Dimensions iNteractive,nDi",2015,9,0,0.00%
"Nebuch,Arligan",2017,1,0,0.00%
Nebula Interactive,2016,1,0,0.00%
Neckbolt,2015,2,0,0.00%
Neckbolt,2017,2,0,0.00%
Necrophone Games,2014,2,0,0.00%
Necrophone Games,2017,2,0,0.00%
NedoStudio,2017,6,0,0.00%
Nedodnb,2017,7,0,0.00%
Neil Birch,2016,1,0,0.00%
Neil Birch,2017,2,0,0.00%
Neko Entertainment,2012,3,0,0.00%
Neko Entertainment,2013,3,0,0.00%
Neko Entertainment,2014,3,0,0.00%
"Neko Entertainment,Team Replay",2015,2,0,0.00%
NekoToFuurin,2017,2,0,0.00%
Nekomura Games,2013,3,0,0.00%
Nekomura Games,2014,2,0,0.00%
Nekomura Games,2015,2,0,0.00%
Nekrosoft,2015,2,0,0.00%
Nela System,Unavailable data,4,0,0.00%
Nelium Games,Unavailable data,2,0,0.00%
Nemega,2017,3,0,0.00%
Nemesys Games,2010,1,0,0.00%
Nemesys Games,2011,3,0,0.00%
Nemesys Games,2016,3,0,0.00%
Nemeton Singularity Simulations,2017,2,0,0.00%
Nemoria Entertainment,2013,2,0,0.00%
Neo Red Entertainment,2016,2,0,0.00%
NeoCoreGames,2010,7,0,0.00%
NeoCoreGames,2011,4,0,0.00%
NeoNight,2015,3,0,0.00%
Neoclassic Games,2016,4,0,0.00%
NeocoreGames,2009,3,0,0.00%
NeocoreGames,2011,2,0,0.00%
NeocoreGames,2012,2,0,0.00%
NeocoreGames,2013,20,0,0.00%
NeocoreGames,2014,16,0,0.00%
NeocoreGames,2015,17,0,0.00%
Neognosis,2016,4,0,0.00%
Neojac Entertainment inc.,2017,3,0,0.00%
Neon Deity Games,2015,2,0,0.00%
Neon Serpent LLC,2014,3,0,0.00%
Neon Squid Games,2016,2,0,0.00%
Neonable,Unavailable data,2,0,0.00%
Neonchimp Games,2017,2,0,0.00%
Neopica,2017,7,0,0.00%
Neople,2016,18,0,0.00%
Neosia Entertainment,Unavailable data,7,0,0.00%
Neotenia,2015,1,0,0.00%
Neotenia,2016,1,0,0.00%
Neox Studios,2017,3,0,0.00%
Nerd Kingdom Inc.,2014,4,0,0.00%
Nerd Monkeys®,2014,3,0,0.00%
NerdRage Studios Ltd.,2017,4,0,0.00%
Nerdook Productions,2014,6,0,0.00%
Nerdook Productions,2015,3,0,0.00%
Nerdook Productions,2017,6,0,0.00%
NerdyYetis,2017,3,0,0.00%
Nerf Game Co. Ltd.,2016,2,0,0.00%
Nerf Game Co. Ltd.,2017,2,0,0.00%
Nerial,2015,4,0,0.00%
Nerial,2016,16,0,0.00%
"Nerial,Synaptic Insight Technology Systems",2017,9,0,0.00%
Nerve Software LLC,2015,8,0,0.00%
"Nerve Software, Gearbox Software, LLC",2016,2,0,0.00%
Nestor Yavorskyy,2017,12,0,0.00%
Net Dragon,Unavailable data,6,0,0.00%
Net Games Laboratory,2014,4,0,0.00%
Netcore Games,2012,3,0,0.00%
Netcore Games,2014,3,0,0.00%
Netcore Games,2016,3,0,0.00%
Netease,2017,5,0,0.00%
NetherRealm Studios,2015,11,0,0.00%
"NetherRealm Studios,High Voltage Software",2013,2,0,0.00%
"NetherRealm Studios,High Voltage Software",2015,1,0,0.00%
"NetherRealm Studios,High Voltage Software,QLOC",2016,7,0,0.00%
"NetherRealm Studios,QLOC",2016,1,0,0.00%
"NetherRealm Studios,QLOC",2017,20,0,0.00%
Netker Inc.,2016,2,0,0.00%
Netmarble Games,2016,3,0,0.00%
Netmin Games,2014,2,0,0.00%
Netmin Games,2016,2,0,0.00%
NetoX,2016,3,0,0.00%
NeuralSoft,2017,3,0,0.00%
Neuron Games,2016,2,0,0.00%
NeuronHaze,2016,15,0,0.00%
Neuronality,2017,4,0,0.00%
Neutron Games,2011,1,0,0.00%
Neutron Games GmbH,2014,1,0,0.00%
Never Don't Play,2015,6,0,0.00%
Nevercenter,2016,3,0,0.00%
Nevercenter Ltd. Co.,2012,1,0,0.00%
Neversoft,2005,1,0,0.00%
Nevosoft,2015,2,0,0.00%
New Atlantis Games,2017,2,0,0.00%
New Bridge Games,2015,3,0,0.00%
New Bridge Games,2016,2,0,0.00%
"New Bridge Games,Alawar Entertainment",2014,5,0,0.00%
"New Bridge Games,Alawar Entertainment",2016,3,0,0.00%
New Horizon Productions,2017,6,0,0.00%
"New Life Interactive, LLC",2015,6,0,0.00%
New Reality Games,2014,8,0,0.00%
New Reality Games,2015,5,0,0.00%
"New Reality Games,Eduard Mirica",2017,4,0,0.00%
"New Reality Games,Scott Holmes",2015,3,0,0.00%
New Star Games,2012,3,0,0.00%
New Star Games Ltd,2010,3,0,0.00%
New State,2015,2,0,0.00%
New State,2016,2,0,0.00%
New World Interactive,2014,3,0,0.00%
NewHopeGames,2017,2,0,0.00%
NewWestGames,2016,1,0,0.00%
NewWestGames,2017,2,0,0.00%
NewWorldCoders,2016,5,0,0.00%
Newmark Software,Unavailable data,2,0,0.00%
Newron Laboratory,Unavailable data,3,0,0.00%
Nexeon Studios,2015,3,0,0.00%
Nexon,2012,9,0,0.00%
Nexon,2014,4,0,0.00%
Nexon,2015,17,0,0.00%
Nexon,2017,28,0,0.00%
Nexus Game Studios,2014,4,0,0.00%
Nexus Games LLC,Unavailable data,4,0,0.00%
NexyMedia,2014,2,0,0.00%
Nezon Production,2017,3,0,0.00%
"Nicalis, Inc.",2011,3,0,0.00%
"Nicalis, Inc.",2014,4,0,0.00%
"Nicalis, Inc.,Edmund McMillen",2015,2,0,0.00%
"Nicalis, Inc.,Edmund McMillen",2017,3,0,0.00%
Nicholas Backus,2017,2,0,0.00%
Nicholas Fisher,2016,1,0,0.00%
Nicholas Fisher,2017,4,0,0.00%
Nicholas Hiller,2017,2,0,0.00%
Nicholas Hydock,2017,4,0,0.00%
Nicholas Mallory,2015,4,0,0.00%
Nicholas Rizzo,2017,4,0,0.00%
Nick Donnelly,2014,3,0,0.00%
Nick Everlith,2016,8,0,0.00%
Nick Everlith,2017,2,0,0.00%
Nick Howard,2015,3,0,0.00%
Nick Shesterin,2017,3,0,0.00%
Nickana Studio,2017,3,0,0.00%
Nickelodeon,2017,1,0,0.00%
Nickervision Studios,2016,3,0,0.00%
Nickervision Studios,2017,6,0,0.00%
Nicola Mari,2017,2,0,0.00%
Nicolas Bernard,2015,3,0,0.00%
Nicolas Bernard,2016,4,0,0.00%
Nicolas Bernard,2017,2,0,0.00%
Nicolas Clarysse,2017,1,0,0.00%
Nicolas Pierre-Loti-Viaud,2015,1,0,0.00%
Niels Bauer Games,2014,17,0,0.00%
Niels Bauer Games,2015,12,0,0.00%
Niels Bauer Games,2016,3,0,0.00%
Nifflas Games,2017,1,0,0.00%
Nifflas' Games,2013,2,0,0.00%
Niffler Ltd.,2014,3,0,0.00%
Niffler Ltd.,2015,3,0,0.00%
Nifty Productions,2017,7,0,0.00%
Night Animals,2017,2,0,0.00%
Night Apparatus,2017,4,0,0.00%
Night Light Interactive,2014,4,0,0.00%
Night Node,2014,3,0,0.00%
Night Node,2015,3,0,0.00%
Night Node Software,2016,2,0,0.00%
Night School Studio,2016,2,0,0.00%
Night Whale,2017,1,0,0.00%
Nighthood Games,2017,3,0,0.00%
NighthoodGames,2016,2,0,0.00%
Nightly Studios,2015,2,0,0.00%
Nihilistic Software,2000,1,0,0.00%
Nihon Falcom,2012,6,0,0.00%
Nihon Falcom,2013,3,0,0.00%
Nihon Falcom,2014,1,0,0.00%
Nihon Falcom,2015,4,0,0.00%
Nihon Falcom,2016,2,0,0.00%
Nihon Falcom,2017,40,0,0.00%
Nihon Falcom,Unavailable data,2,0,0.00%
"Nihon Falcom,Mastiff",2015,3,0,0.00%
Nijumi Games,2017,2,0,0.00%
Nik Nak Studios,2017,4,0,0.00%
"Nikhil Tailor,Ariflare",2017,3,0,0.00%
Nikita,2007,4,0,0.00%
"Nikita ""Ghost_RUS""",2017,24,0,0.00%
"Nikita ""Ghost_RUS""",2018,4,0,0.00%
"Nikita ""Ghost_RUS"",Underanger TheGachiWarrior",2017,6,0,0.00%
Nikita Kaf,2017,2,0,0.00%
"Nikita Markin,Artem Basko",2017,4,0,0.00%
Nikita Nefedov,2016,2,0,0.00%
Nikita Online,2012,3,0,0.00%
"Nikkatsu Corporation,mebius",2017,2,0,0.00%
Nikku Nomura,2016,5,0,0.00%
Nikola Bulj,2016,3,0,0.00%
Nikola Kostic,2015,1,0,0.00%
Nikolai Patrakov,2016,3,0,0.00%
Nikolai Usachev,2017,4,0,0.00%
Nikolay Novikov,2016,3,0,0.00%
Nilem Studio,2017,3,0,0.00%
Nilo Studios,2016,2,0,0.00%
Nimble Tools,2015,3,0,0.00%
Nimbly Games,2009,3,0,0.00%
Nimbly Games,2012,3,0,0.00%
Nimbly Games,2016,3,0,0.00%
Nimbus Interactive,2017,4,0,0.00%
"Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka",2014,2,0,0.00%
"Nina Freeman,Laura Knetzger,Stephen Lawrence Clark",2015,1,0,0.00%
"Ninai Games,YeaBoing",2000,2,0,0.00%
Nincent,2017,5,0,0.00%
Nine Dots Studio,2014,4,0,0.00%
Nine Tales Digital,2014,2,0,0.00%
"Nine Tales Digital,Bolt Creative",2015,2,0,0.00%
Ninetales Studios,2019,6,0,0.00%
Ninja Chip Studios,2017,3,0,0.00%
Ninja Kiwi,2014,2,0,0.00%
Ninja Kiwi,2016,6,0,0.00%
Ninja Kiwi,2017,19,0,0.00%
Ninja Robot Dinosaur,2016,3,0,0.00%
Ninja Theory,2013,8,0,0.00%
Ninja Theory,2017,3,0,0.00%
"NinjaISV,TigerNDV",2015,3,0,0.00%
"Nippon Ichi Software, Inc.",2016,13,0,0.00%
"Nippon Ichi Software, Inc.",2017,14,0,0.00%
NitorInc. Collab,Unavailable data,2,0,0.00%
Nitreal,2017,4,0,0.00%
Nitro Games,2009,4,0,0.00%
Nitro Games,2010,3,0,0.00%
Nitro Games,2011,3,0,0.00%
Nitroplus,2016,2,0,0.00%
Nitrous Butterfly,2017,4,0,0.00%
Nival,2001,1,0,0.00%
Nival,2003,4,0,0.00%
Nival,2004,3,0,0.00%
Nival,2006,2,0,0.00%
Nival,2007,1,0,0.00%
Nival,2013,35,0,0.00%
Nival,2014,5,0,0.00%
Nival,2015,2,0,0.00%
Nival,2016,5,0,0.00%
Nival,2017,8,0,0.00%
No Brakes Games,2016,2,0,0.00%
No Brakes Games,2017,2,0,0.00%
No Bull Intentions,2015,6,0,0.00%
No Code,2017,4,0,0.00%
No Goblin,2014,8,0,0.00%
No Goblin,2017,3,0,0.00%
No Matter Studios,Unavailable data,5,0,0.00%
No Moon,2017,4,0,0.00%
No More Room in Hell Team,2011,3,0,0.00%
No Pest Productions,2015,6,0,0.00%
No Wand Studios,2017,4,0,0.00%
No data available,1998,2,0,0.00%
No data available,1999,4,0,0.00%
No data available,2000,1,0,0.00%
No data available,2001,2,0,0.00%
No data available,2002,1,0,0.00%
No data available,2004,1,0,0.00%
No data available,2005,3,0,0.00%
No data available,2006,1,0,0.00%
No data available,2008,2,0,0.00%
No data available,2009,5,0,0.00%
No data available,2011,6,0,0.00%
No data available,2012,6,0,0.00%
No data available,2013,88,0,0.00%
No data available,2014,18,0,0.00%
No data available,2015,72,0,0.00%
No data available,2016,70,0,0.00%
No data available,2017,68,0,0.00%
"No, You Shut Up Inc.",2016,4,0,0.00%
NoDev,2014,4,0,0.00%
NoTime Studios,2017,2,0,0.00%
"Noah System,Mgame",2016,5,0,0.00%
Noble Empire Corp.,2014,13,0,0.00%
Noble Empire Corp.,2015,2,0,0.00%
Noble Empire Corp.,2016,18,0,0.00%
Noble Empire Corp.,2017,27,0,0.00%
Noble Fox Games,Unavailable data,2,0,0.00%
Noble Master LLC,2016,3,0,0.00%
Noble Master LLC,2017,3,0,0.00%
Noclip,2016,2,0,0.00%
Noclip,2017,12,0,0.00%
Noctecraft Entertainment,2017,2,0,0.00%
Nocturnal works,2013,2,0,0.00%
Nocturne Games,2017,3,0,0.00%
"Nodacoy Games,Jadan Bliss",2017,3,0,0.00%
Nodamex,2016,3,0,0.00%
Nodbrim Interactive,2016,8,0,0.00%
Nodding Heads Games,2019,3,0,0.00%
NodziGames,2015,5,0,0.00%
NodziGames,2016,4,0,0.00%
NodziGames,2017,3,0,0.00%
Noetic Games,2016,3,0,0.00%
Noio,2016,6,0,0.00%
Noio,2017,3,0,0.00%
"Noio,Licorice",2015,3,0,0.00%
Nolo,2015,2,0,0.00%
Nolo,2016,1,0,0.00%
Nolo,2017,1,0,0.00%
Nom Nom Games,2014,4,0,0.00%
Nomad Games,2013,3,0,0.00%
Nomad Games,2014,40,0,0.00%
Nomad Games,2015,24,0,0.00%
Nomad Games,2016,20,0,0.00%
Nomad Games,2017,14,0,0.00%
"Nomad Games,VooFoo Studios",2016,1,0,0.00%
NonFictional Games,2017,3,0,0.00%
Nonadecimal Creative,2014,4,0,0.00%
Nonadecimal Creative,2016,3,0,0.00%
Nonce Inc.,Unavailable data,5,0,0.00%
Nonlinear,2015,2,0,0.00%
Nonostante Games,2017,3,0,0.00%
Nooner Bear Studio,2015,2,0,0.00%
Nooskewl,2015,7,0,0.00%
NorbSoftDev,2015,2,0,0.00%
NorbSoftDev,2016,5,0,0.00%
NorbSoftDev,2017,2,0,0.00%
Norbert Palacz,2017,3,0,0.00%
Nordcurrent,2014,1,0,0.00%
Nordcurrent,2017,4,0,0.00%
Nordic Legacy,2015,7,0,0.00%
Nordic Mist Games,2015,3,0,0.00%
Norrland Interactive,2017,3,0,0.00%
"Norse,Piko Interactive",2015,3,0,0.00%
North Side,2014,7,0,0.00%
North of Earth,2012,2,0,0.00%
North of Earth,2014,2,0,0.00%
Northbrain,2015,1,0,0.00%
Northbrain,2017,1,0,0.00%
NorthernLights Games,2017,2,0,0.00%
Northplay,2017,2,0,0.00%
"Northway Games,Sarah Northway",2014,3,0,0.00%
"Northway Games,Sarah Northway",2015,3,0,0.00%
Norven Games,2017,8,0,0.00%
NoseDevilEugen,2017,2,0,0.00%
Nosebleed Interactive,2017,3,0,0.00%
"Nostalgia Hound,PiGravity",2016,3,0,0.00%
Not Games LLP,2015,1,0,0.00%
Not Magic,2016,3,0,0.00%
Not Magic,2017,3,0,0.00%
NotGames,2015,1,0,0.00%
NotGames,2016,3,0,0.00%
Nothing Rhymes With Entertainment,2017,2,0,0.00%
Notion Games,2016,3,0,0.00%
Notorious Games,2014,4,0,0.00%
Notus Games Ltd,2017,10,0,0.00%
Noumena Studios,2013,3,0,0.00%
Noumenon Games,2010,2,0,0.00%
Noumenon Games,2015,1,0,0.00%
Nova D,2016,7,0,0.00%
"Nova Dimension,Game-Ready Studio",2017,5,0,0.00%
"Nova Dimension,Naga Entertainment",2014,2,0,0.00%
"Nova Dimension,Recreat4",2017,4,0,0.00%
"Nova Ideals,Alawar Entertainment",2016,1,0,0.00%
Nova Ideas,2017,4,0,0.00%
Nova-box,2016,1,0,0.00%
NovaLogic,1998,3,0,0.00%
NovaLogic,1999,3,0,0.00%
NovaLogic,2000,2,0,0.00%
NovaLogic,2001,2,0,0.00%
NovaLogic,2002,1,0,0.00%
NovaLogic,2003,1,0,0.00%
NovaLogic,2005,1,0,0.00%
NovaLogic,2009,2,0,0.00%
Novectacle,2013,1,0,0.00%
Novectacle,2016,1,0,0.00%
Novel Tea Games,2016,6,0,0.00%
"Noviy Disk,Lesta Studios Inc",2009,1,0,0.00%
Novo Mundo,2017,4,0,0.00%
Novus Res,2017,3,0,0.00%
Nowhere Studios,2014,9,0,0.00%
Nowhere Town,2017,2,0,0.00%
Nozon,2016,2,0,0.00%
"Ntreev Soft Co., Ltd.",2010,2,0,0.00%
Ntronium Games,2010,1,0,0.00%
Ntronium Games,2013,2,0,0.00%
Ntroy LTD,2017,17,0,0.00%
Nuberu Games,2016,3,0,0.00%
Nuberu Games,2017,2,0,0.00%
Nuclear,2017,2,0,0.00%
Nuclear Fiction,2017,9,0,0.00%
Nuclear Fishin' Software,2017,3,0,0.00%
Nuclear Strawberry,2016,3,0,0.00%
